evento_id,instalacion_id,timestamp,tipo_evento,severidad,es_anomalo
1,18,2021-02-10 10:10:23,reconocimiento,Baja,False
2,31,2021-01-10 05:01:59,acceso_normal,Media,False
3,96,2020-04-06 09:27:59,acceso_normal,Baja,False
4,77,2021-03-24 02:36:50,reconocimiento,Baja,False
5,90,2020-10-11 08:25:52,alerta_ids,Crítica,False
6,75,2020-12-19 03:49:39,descarga_datos,Baja,False
7,6,2020-12-31 11:33:09,conexion_c2,Baja,False
8,58,2020-11-07 07:20:15,reconocimiento,Baja,False
9,68,2020-09-22 14:44:00,modificacion_logs,Media,False
10,10,2020-05-22 18:16:07,acceso_normal,Baja,False
11,41,2019-12-01 06:08:07,alerta_ids,Media,False
12,41,2020-02-10 11:39:21,exfiltracion,Alta,True
13,9,2021-01-23 00:04:25,descarga_datos,Crítica,False
14,17,2020-08-16 12:50:31,escalamiento_privilegios,Baja,False
15,67,2020-07-02 12:14:42,reconocimiento,Baja,False
16,14,2020-03-17 09:44:56,acceso_normal,Baja,False
17,36,2020-10-29 22:27:24,acceso_normal,Alta,False
18,1,2021-02-22 02:38:05,descarga_datos,Alta,False
19,10,2020-06-04 14:58:53,reconocimiento,Baja,False
20,67,2020-09-04 01:02:48,modificacion_logs,Crítica,False
21,71,2020-11-18 22:36:31,escalamiento_privilegios,Alta,True
22,92,2021-02-20 05:31:54,reconocimiento,Media,False
23,95,2020-11-21 19:33:05,acceso_normal,Alta,False
24,20,2021-03-25 19:59:58,acceso_normal,Baja,False
25,82,2021-01-30 07:38:17,acceso_normal,Baja,False
26,52,2020-09-15 09:34:06,acceso_normal,Baja,False
27,75,2020-11-05 22:08:40,modificacion_logs,Crítica,False
28,63,2021-02-28 23:51:10,alerta_ids,Baja,False
29,19,2021-03-10 15:24:34,alerta_ids,Media,False
30,91,2021-02-27 02:15:40,acceso_normal,Media,False
31,83,2020-07-27 02:16:32,acceso_normal,Media,False
32,74,2020-04-21 05:44:50,acceso_normal,Baja,False
33,15,2021-03-10 15:18:03,descarga_datos,Media,False
34,64,2020-10-17 20:05:34,modificacion_logs,Alta,True
35,46,2020-01-29 00:51:20,descarga_datos,Crítica,False
36,41,2020-09-21 07:45:23,acceso_normal,Media,False
37,62,2021-01-03 07:32:08,acceso_normal,Media,False
38,63,2020-11-09 23:12:59,acceso_normal,Baja,False
39,72,2021-03-13 15:13:11,acceso_normal,Baja,False
40,59,2021-02-18 21:50:24,descarga_datos,Baja,False
41,77,2021-01-19 09:05:14,reconocimiento,Baja,False
42,75,2021-01-15 04:38:03,persistencia,Baja,False
43,93,2021-03-11 19:15:12,descarga_datos,Media,False
44,51,2021-03-25 22:25:36,acceso_normal,Media,False
45,77,2020-09-19 00:46:33,reconocimiento,Baja,False
46,63,2021-03-28 06:04:21,alerta_ids,Media,False
47,82,2021-02-23 13:27:04,descarga_datos,Media,False
48,77,2021-01-15 20:38:35,descarga_datos,Baja,False
49,30,2021-03-15 09:57:18,modificacion_logs,Crítica,True
50,1,2021-03-08 01:48:27,reconocimiento,Media,False
51,31,2021-02-10 18:42:36,exfiltracion,Baja,False
52,80,2021-03-07 11:30:45,alerta_ids,Baja,False
53,44,2020-12-24 01:50:40,reconocimiento,Baja,False
54,73,2021-02-06 20:56:35,reconocimiento,Alta,False
55,90,2020-03-19 17:48:38,exfiltracion,Media,False
